Year,Wm2
1880,1360.626
1881,1360.6875
1882,1360.9375
1883,1361.0626
1884,1361.1875
1885,1361.125
1886,1361.0625
1887,1361
1888,1360.875
1889,1360.875
1890,1360.8125
1891,1360.9375
1892,1361.125
1893,1361.375
1894,1361.1875
1895,1361.4375
1896,1361.25
1897,1361.0625
1898,1361
1899,1360.8125
1900,1360.6875
1901,1360.625
1902,1360.5625
1903,1360.5625
1904,1360.625
1905,1360.875
1906,1360.9375
1907,1361.0625
1908,1361
1909,1361
1910,1360.9375
1911,1360.875
1912,1360.625
1913,1360.625
1914,1360.75
1915,1360.9375
1916,1361.1875
1917,1361.25
1918,1361.4375
1919,1361.3125
1920,1361
1921,1360.875
1922,1360.75
1923,1360.625
1924,1360.5625
1925,1360.625
1926,1360.875
1927,1361.1875
1928,1361.25
1929,1361.125
1930,1361.1875
1931,1361.125
1932,1360.9375
1933,1360.875
1934,1360.9375
1935,1361
1936,1361.25
1937,1361.5
1938,1361.5
1939,1361.4375
1940,1361.3125
1941,1361.125
1942,1361.0625
1943,1361.0625
1944,1361
1945,1361.1875
1946,1361.25
1947,1361.4375
1948,1361.6875
1949,1361.5625
1950,1361.5
1951,1361.1875
1952,1361.25
1953,1361.125
1954,1361.125
1955,1361.375
1956,1361.6875
1957,1361.9375
1958,1362.125
1959,1362.0625
1960,1361.875
1961,1361.5625
1962,1361.1875
1963,1360.9375
1964,1360.8125
1965,1360.75
1966,1360.875
1967,1361.1875
1968,1361.375
1969,1361.3125
1970,1361.25
1971,1361.1875
1972,1361.125
1973,1361.0625
1974,1360.9375
1975,1361.0625
1976,1361.125
1977,1361.25
1978,1361.5
1979,1361.75
1980,1361.6875
1981,1361.625
1982,1361.6875
1983,1361.625
1984,1361
1985,1360.9375
1986,1360.9375
1987,1361.125
1988,1361.375
1989,1361.8125
1990,1361.875
1991,1361.625
1992,1361.6875
1993,1361.25
1994,1360.9375
1995,1360.8125
1996,1360.8125
1997,1361
1998,1361.125
1999,1361.1875
2000,1361.375
2001,1361.125
2002,1361.5
2003,1361.3125
2004,1361.0625
2005,1360.8125
2006,1360.6875
2007,1360.625
2008,1360.4375
2009,1360.375
2010,1360.625
2011,1360.8125
2012,1361
2013,1361.0625
2014,1361.0625
2015,1361.125
2016,1360.625
2017,1360.4375
2018,1360.4062
2019,1360.3906
2020,1360.375
